Sl. No.,Timestamp,Labels,I_w_BLO_Weg,O_w_BLO_power,O_w_BLO_voltage,I_w_BHL_Weg,O_w_BHL_power,O_w_BHL_voltage,I_w_BHR_Weg,O_w_BHR_power,O_w_BHR_voltage,I_w_BRU_Weg,O_w_BRU_power,O_w_BRU_voltage,I_w_HR_Weg,O_w_HR_power,O_w_HR_voltage,I_w_HL_Weg,O_w_HL_power,O_w_HL_voltage,Training
1,0,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,1
2,0.043998718,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,1
3,0.099998474,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,0
4,0.143997192,0,7,0,0,-547,0,0,-874,12,1,-32,0,0,0,2560,24,0,3434,24,1
5,0.249000549,0,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24,1
6,0.292999268,0,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24,1
7,0.350997925,0,7,0,0,-547,0,0,-874,7,1,22,18471,47,0,5764,26,0,5008,24,1
8,0.394996643,0,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24,1
9,0.496002197,0,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24,1
10,0.541999817,0,7,0,0,-547,0,0,-874,4,1,92,21777,50,0,5972,26,0,3434,24,1
11,0.598999023,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,1
12,0.642997742,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,0
13,0.742996216,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,0
14,0.797996521,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,1
15,0.850997925,0,7,0,0,-547,0,0,-874,2,0,163,17199,47,0,6492,26,0,5440,23,1
